trl,emo,tone,ut,noise_pic,noise,difficulty,phase,subblock,prob_HP,expected
140,negative,low,1,2,0.9,difficult,volatile,4,0.83,expected
141,negative,low,1,3,0.3,medium,volatile,4,0.83,expected
142,negative,low,1,4,0.1,easy,volatile,4,0.83,expected
143,positive,high,1,3,0.3,medium,volatile,4,0.83,expected
144,negative,low,1,3,0.3,medium,volatile,4,0.83,expected
145,positive,high,1,4,0.1,easy,volatile,4,0.83,expected
146,negative,low,1,2,0.9,difficult,volatile,4,0.83,expected
147,negative,low,1,2,0.9,difficult,volatile,4,0.83,expected
148,negative,low,1,4,0.1,easy,volatile,4,0.83,expected
149,negative,high,0,4,0.1,easy,volatile,4,0.83,unexpected
150,positive,high,1,2,0.9,difficult,volatile,4,0.83,expected
151,negative,low,1,4,0.1,easy,volatile,4,0.83,expected
152,positive,high,1,3,0.3,medium,volatile,4,0.83,expected
153,positive,high,1,3,0.3,medium,volatile,4,0.83,expected
154,negative,low,1,3,0.3,medium,volatile,4,0.83,expected
155,negative,high,0,2,0.9,difficult,volatile,4,0.83,unexpected
156,positive,high,1,4,0.1,easy,volatile,4,0.83,expected
157,negative,low,1,2,0.9,difficult,volatile,5,0.5,neutral
158,positive,high,1,3,0.3,medium,volatile,5,0.5,neutral
159,positive,low,0,4,0.1,easy,volatile,5,0.5,neutral
160,negative,high,0,2,0.9,difficult,volatile,5,0.5,neutral
161,positive,low,0,4,0.1,easy,volatile,5,0.5,neutral
162,positive,high,1,3,0.3,medium,volatile,5,0.5,neutral
163,positive,high,1,2,0.9,difficult,volatile,5,0.5,neutral
164,positive,low,0,2,0.9,difficult,volatile,5,0.5,neutral
165,negative,low,1,4,0.1,easy,volatile,5,0.5,neutral
166,positive,high,1,4,0.1,easy,volatile,5,0.5,neutral
167,negative,high,0,3,0.3,medium,volatile,5,0.5,neutral
168,positive,low,0,3,0.3,medium,volatile,5,0.5,neutral
169,negative,low,1,4,0.1,easy,volatile,5,0.5,neutral
170,negative,low,1,2,0.9,difficult,volatile,5,0.5,neutral
171,negative,high,0,2,0.9,difficult,volatile,5,0.5,neutral
172,positive,high,1,4,0.1,easy,volatile,5,0.5,neutral
173,positive,high,1,2,0.9,difficult,volatile,5,0.5,neutral
174,negative,low,1,3,0.3,medium,volatile,5,0.5,neutral
175,negative,high,0,3,0.3,medium,volatile,5,0.5,neutral
176,negative,high,0,4,0.1,easy,volatile,5,0.5,neutral
177,positive,low,0,3,0.3,medium,volatile,5,0.5,neutral
178,negative,high,0,4,0.1,easy,volatile,5,0.5,neutral
179,positive,low,0,2,0.9,difficult,volatile,5,0.5,neutral
180,negative,low,1,3,0.3,medium,volatile,5,0.5,neutral
181,negative,high,0,2,0.9,difficult,volatile,6,0.17,expected
182,positive,low,0,4,0.1,easy,volatile,6,0.17,expected
183,positive,low,0,4,0.1,easy,volatile,6,0.17,expected
184,positive,low,0,4,0.1,easy,volatile,6,0.17,expected
185,positive,low,0,2,0.9,difficult,volatile,6,0.17,expected
186,negative,high,0,3,0.3,medium,volatile,6,0.17,expected
187,negative,high,0,4,0.1,easy,volatile,6,0.17,expected
188,positive,low,0,3,0.3,medium,volatile,6,0.17,expected
189,negative,low,1,2,0.9,difficult,volatile,6,0.17,unexpected
190,positive,low,0,2,0.9,difficult,volatile,6,0.17,expected
191,positive,high,1,3,0.3,medium,volatile,6,0.17,unexpected
192,positive,low,0,4,0.1,easy,volatile,6,0.17,expected
193,negative,high,0,2,0.9,difficult,volatile,6,0.17,expected
194,positive,low,0,2,0.9,difficult,volatile,6,0.17,expected
195,positive,high,1,2,0.9,difficult,volatile,6,0.17,unexpected
196,negative,high,0,4,0.1,easy,volatile,6,0.17,expected
197,negative,high,0,3,0.3,medium,volatile,6,0.17,expected
198,positive,low,0,3,0.3,medium,volatile,6,0.17,expected
199,negative,low,1,4,0.1,easy,volatile,6,0.17,unexpected
200,positive,low,0,3,0.3,medium,volatile,6,0.17,expected
201,negative,high,0,3,0.3,medium,volatile,6,0.17,expected
202,negative,high,0,4,0.1,easy,volatile,6,0.17,expected
203,positive,low,0,2,0.9,difficult,volatile,6,0.17,expected
204,positive,low,0,4,0.1,easy,volatile,6,0.17,expected
205,positive,low,0,2,0.9,difficult,volatile,6,0.17,expected
206,positive,low,0,3,0.3,medium,volatile,6,0.17,expected
207,negative,high,0,3,0.3,medium,volatile,6,0.17,expected
208,negative,high,0,2,0.9,difficult,volatile,6,0.17,expected
209,negative,low,1,3,0.3,medium,volatile,6,0.17,unexpected
210,negative,high,0,4,0.1,easy,volatile,6,0.17,expected
211,positive,high,1,4,0.1,easy,volatile,6,0.17,unexpected
212,negative,high,0,2,0.9,difficult,volatile,6,0.17,expected
213,negative,high,0,2,0.9,difficult,volatile,6,0.17,expected
214,negative,high,0,3,0.3,medium,volatile,6,0.17,expected
215,positive,low,0,3,0.3,medium,volatile,6,0.17,expected
216,negative,high,0,4,0.1,easy,volatile,6,0.17,expected
217,negative,low,1,2,0.9,difficult,volatile,7,0.83,expected
218,negative,low,1,3,0.3,medium,volatile,7,0.83,expected
219,negative,low,1,4,0.1,easy,volatile,7,0.83,expected
220,positive,high,1,3,0.3,medium,volatile,7,0.83,expected
221,positive,low,0,2,0.9,difficult,volatile,7,0.83,unexpected
222,negative,low,1,2,0.9,difficult,volatile,7,0.83,expected
223,negative,high,0,3,0.3,medium,volatile,7,0.83,unexpected
224,positive,high,1,2,0.9,difficult,volatile,7,0.83,expected
225,negative,high,0,2,0.9,difficult,volatile,7,0.83,unexpected
226,positive,high,1,2,0.9,difficult,volatile,7,0.83,expected
227,positive,high,1,3,0.3,medium,volatile,7,0.83,expected
228,negative,low,1,2,0.9,difficult,volatile,7,0.83,expected
229,positive,low,0,3,0.3,medium,volatile,7,0.83,unexpected
230,negative,low,1,2,0.9,difficult,volatile,7,0.83,expected
231,positive,high,1,4,0.1,easy,volatile,7,0.83,expected
232,negative,low,1,4,0.1,easy,volatile,7,0.83,expected
233,positive,high,1,2,0.9,difficult,volatile,7,0.83,expected
234,positive,low,0,4,0.1,easy,volatile,7,0.83,unexpected
235,positive,high,1,3,0.3,medium,volatile,7,0.83,expected
236,negative,low,1,3,0.3,medium,volatile,7,0.83,expected
237,negative,low,1,2,0.9,difficult,volatile,7,0.83,expected
238,negative,high,0,4,0.1,easy,volatile,7,0.83,unexpected
239,positive,high,1,4,0.1,easy,volatile,7,0.83,expected
240,negative,low,1,4,0.1,easy,volatile,7,0.83,expected
241,positive,high,1,3,0.3,medium,volatile,7,0.83,expected
242,negative,low,1,4,0.1,easy,volatile,7,0.83,expected
243,negative,low,1,4,0.1,easy,volatile,7,0.83,expected
244,positive,high,1,3,0.3,medium,volatile,7,0.83,expected
245,negative,low,1,3,0.3,medium,volatile,7,0.83,expected
246,positive,high,1,4,0.1,easy,volatile,7,0.83,expected
247,positive,high,1,2,0.9,difficult,volatile,7,0.83,expected
248,negative,low,1,3,0.3,medium,volatile,7,0.83,expected
249,positive,high,1,4,0.1,easy,volatile,7,0.83,expected
250,positive,high,1,2,0.9,difficult,volatile,7,0.83,expected
251,negative,low,1,3,0.3,medium,volatile,7,0.83,expected
252,positive,high,1,4,0.1,easy,volatile,7,0.83,expected
253,positive,high,1,4,0.1,easy,volatile,8,0.5,neutral
254,negative,low,1,4,0.1,easy,volatile,8,0.5,neutral
255,positive,low,0,2,0.9,difficult,volatile,8,0.5,neutral
256,negative,low,1,3,0.3,medium,volatile,8,0.5,neutral
257,positive,high,1,3,0.3,medium,volatile,8,0.5,neutral
258,positive,low,0,3,0.3,medium,volatile,8,0.5,neutral
259,negative,high,0,4,0.1,easy,volatile,8,0.5,neutral
260,negative,high,0,3,0.3,medium,volatile,8,0.5,neutral
261,negative,high,0,2,0.9,difficult,volatile,8,0.5,neutral
262,positive,low,0,4,0.1,easy,volatile,8,0.5,neutral
263,positive,high,1,2,0.9,difficult,volatile,8,0.5,neutral
264,negative,low,1,2,0.9,difficult,volatile,8,0.5,neutral
265,positive,low,0,2,0.9,difficult,postvolatile,9,0.17,expected
266,negative,high,0,4,0.1,easy,postvolatile,9,0.17,expected
267,positive,low,0,2,0.9,difficult,postvolatile,9,0.17,expected
268,positive,low,0,4,0.1,easy,postvolatile,9,0.17,expected
269,negative,low,1,3,0.3,medium,postvolatile,9,0.17,unexpected
270,negative,high,0,2,0.9,difficult,postvolatile,9,0.17,expected
271,positive,low,0,3,0.3,medium,postvolatile,9,0.17,expected
272,negative,high,0,4,0.1,easy,postvolatile,9,0.17,expected
273,negative,high,0,3,0.3,medium,postvolatile,9,0.17,expected
274,positive,low,0,4,0.1,easy,postvolatile,9,0.17,expected
275,negative,high,0,4,0.1,easy,postvolatile,9,0.17,expected
276,positive,low,0,2,0.9,difficult,postvolatile,9,0.17,expected
277,positive,low,0,4,0.1,easy,postvolatile,9,0.17,expected
278,negative,high,0,3,0.3,medium,postvolatile,9,0.17,expected
279,negative,low,1,4,0.1,easy,postvolatile,9,0.17,unexpected
280,negative,high,0,2,0.9,difficult,postvolatile,9,0.17,expected
281,positive,low,0,3,0.3,medium,postvolatile,9,0.17,expected
282,positive,low,0,4,0.1,easy,postvolatile,9,0.17,expected
283,negative,high,0,4,0.1,easy,postvolatile,9,0.17,expected
284,positive,low,0,2,0.9,difficult,postvolatile,9,0.17,expected
285,positive,high,1,2,0.9,difficult,postvolatile,9,0.17,unexpected
286,negative,high,0,3,0.3,medium,postvolatile,9,0.17,expected
287,positive,low,0,3,0.3,medium,postvolatile,9,0.17,expected
288,negative,high,0,2,0.9,difficult,postvolatile,9,0.17,expected
289,negative,high,0,2,0.9,difficult,postvolatile,9,0.17,expected
290,positive,high,1,2,0.9,difficult,postvolatile,9,0.17,unexpected
291,positive,low,0,2,0.9,difficult,postvolatile,9,0.17,expected
292,positive,low,0,3,0.3,medium,postvolatile,9,0.17,expected
293,positive,low,0,2,0.9,difficult,postvolatile,9,0.17,expected
294,negative,high,0,4,0.1,easy,postvolatile,9,0.17,expected
295,positive,low,0,3,0.3,medium,postvolatile,9,0.17,expected
296,negative,high,0,4,0.1,easy,postvolatile,9,0.17,expected
297,negative,high,0,3,0.3,medium,postvolatile,9,0.17,expected
298,positive,high,1,3,0.3,medium,postvolatile,9,0.17,unexpected
299,positive,high,1,4,0.1,easy,postvolatile,9,0.17,unexpected
300,negative,high,0,3,0.3,medium,postvolatile,9,0.17,expected
301,negative,low,1,3,0.3,medium,postvolatile,9,0.17,unexpected
302,positive,low,0,4,0.1,easy,postvolatile,9,0.17,expected
303,positive,high,1,4,0.1,easy,postvolatile,9,0.17,unexpected
304,negative,low,1,4,0.1,easy,postvolatile,9,0.17,unexpected
305,positive,low,0,2,0.9,difficult,postvolatile,9,0.17,expected
306,positive,low,0,3,0.3,medium,postvolatile,9,0.17,expected
307,positive,low,0,3,0.3,medium,postvolatile,9,0.17,expected
308,positive,low,0,4,0.1,easy,postvolatile,9,0.17,expected
309,negative,high,0,4,0.1,easy,postvolatile,9,0.17,expected
310,negative,high,0,4,0.1,easy,postvolatile,9,0.17,expected
311,positive,low,0,2,0.9,difficult,postvolatile,9,0.17,expected
312,negative,high,0,2,0.9,difficult,postvolatile,9,0.17,expected
313,positive,low,0,4,0.1,easy,postvolatile,9,0.17,expected
314,negative,high,0,4,0.1,easy,postvolatile,9,0.17,expected
315,negative,high,0,3,0.3,medium,postvolatile,9,0.17,expected
316,negative,high,0,2,0.9,difficult,postvolatile,9,0.17,expected
317,negative,high,0,2,0.9,difficult,postvolatile,9,0.17,expected
318,positive,high,1,3,0.3,medium,postvolatile,9,0.17,unexpected
319,positive,low,0,2,0.9,difficult,postvolatile,9,0.17,expected
320,negative,low,1,2,0.9,difficult,postvolatile,9,0.17,unexpected
321,negative,high,0,2,0.9,difficult,postvolatile,9,0.17,expected
322,positive,low,0,3,0.3,medium,postvolatile,9,0.17,expected
323,positive,low,0,4,0.1,easy,postvolatile,9,0.17,expected
324,negative,high,0,3,0.3,medium,postvolatile,9,0.17,expected
325,positive,low,0,4,0.1,easy,postvolatile,9,0.17,expected
326,negative,high,0,2,0.9,difficult,postvolatile,9,0.17,expected
327,negative,high,0,3,0.3,medium,postvolatile,9,0.17,expected
328,negative,low,1,2,0.9,difficult,postvolatile,9,0.17,unexpected
329,positive,low,0,3,0.3,medium,postvolatile,9,0.17,expected
330,positive,low,0,2,0.9,difficult,postvolatile,9,0.17,expected
331,negative,high,0,3,0.3,medium,postvolatile,9,0.17,expected
332,negative,high,0,3,0.3,medium,postvolatile,9,0.17,expected
333,positive,low,0,4,0.1,easy,postvolatile,9,0.17,expected
334,negative,high,0,2,0.9,difficult,postvolatile,9,0.17,expected
335,positive,low,0,3,0.3,medium,postvolatile,9,0.17,expected
336,negative,high,0,4,0.1,easy,postvolatile,9,0.17,expected
