population-level,bf.log,priors
change,42.5659,sdx0.25
diagnosis + level,-0.4835,sdx0.25
diagnosis + change,42.3937,sdx0.25
level + change,45.1584,sdx0.25
diagnosis + level + change,44.9825,sdx0.25
diagnosis + level + diagnosis:level,-0.8598,sdx0.25
diagnosis + level + change + diagnosis:level,44.6465,sdx0.25
level + change + level:change,44.9970,sdx0.25
diagnosis + level + change + level:change,44.8291,sdx0.25
diagnosis + level + change + diagnosis:level + level:change,44.4866,sdx0.25
diagnosis + change + diagnosis:change,41.2782,sdx0.25
diagnosis + level + change + diagnosis:change,43.9103,sdx0.25
diagnosis + level + change + diagnosis:level + diagnosis:change,43.7932,sdx0.25
diagnosis + level + change + level:change + diagnosis:change,43.7363,sdx0.25
diagnosis + level + change + diagnosis:level + level:change + diagnosis:change,43.6155,sdx0.25
1,0.0000,sdx0.125
diagnosis * level * change,24.7214,sdx0.125
diagnosis,-0.0236,sdx0.125
level,-0.1151,sdx0.125
change,24.9968,sdx0.125
diagnosis + level,-0.1507,sdx0.125
diagnosis + change,24.9948,sdx0.125
level + change,25.2712,sdx0.125
diagnosis + level + change,25.2568,sdx0.125
diagnosis + level + diagnosis:level,-0.1093,sdx0.125
diagnosis + level + change + diagnosis:level,25.2639,sdx0.125
level + change + level:change,25.4359,sdx0.125
diagnosis + level + change + level:change,25.4317,sdx0.125
diagnosis + level + change + diagnosis:level + level:change,25.4191,sdx0.125
diagnosis + change + diagnosis:change,24.5916,sdx0.125
diagnosis + level + change + diagnosis:change,24.8817,sdx0.125
diagnosis + level + change + diagnosis:level + diagnosis:change,24.9877,sdx0.125
diagnosis + level + change + level:change + diagnosis:change,25.0371,sdx0.125
diagnosis + level + change + diagnosis:level + level:change + diagnosis:change,25.1551,sdx0.125
